id_venda,data_venda,id_cliente,cliente,segmento,cidade,estado,regiao,id_produto,produto,categoria,id_vendedor,vendedor,quantidade,preco_unitario,desconto_pct,custo_unitario
VDA0293,2025-03-20,C019,Pernambuco Labs,PME,Olinda,PE,Nordeste,P010,SSD 1TB,Armazenamento,V005,Juliana Rocha,5,520.00,0.15,330.00
VDA0063,2025-03-21,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P010,SSD 1TB,Armazenamento,V003,Beatriz Alves,12,520.00,0.00,330.00
VDA0191,2025-03-21,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P010,SSD 1TB,Armazenamento,V003,Beatriz Alves,10,520.00,0.08,330.00
VDA0223,2025-03-21,C019,Pernambuco Labs,PME,Olinda,PE,Nordeste,P001,Notebook Pro 14,Informática,V005,Juliana Rocha,1,3500.00,0.08,2650.00
VDA0255,2025-03-21,C007,Nordeste Digital,Corporativo,Recife,PE,Nordeste,P003,Monitor 24,Monitores,V005,Juliana Rocha,1,950.00,0.10,670.00
VDA0300,2025-03-22,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P005,Mouse Wireless,Periféricos,V003,Beatriz Alves,6,120.00,0.15,55.00
VDA0065,2025-03-23,C014,Fortaleza Hub,Corporativo,Fortaleza,CE,Nordeste,P005,Mouse Wireless,Periféricos,V005,Juliana Rocha,6,120.00,0.00,55.00
VDA0024,2025-03-24,C007,Nordeste Digital,Corporativo,Recife,PE,Nordeste,P006,Teclado Mecânico,Periféricos,V005,Juliana Rocha,4,280.00,0.10,145.00
VDA0264,2025-03-24,C004,Orbe Engenharia,PME,Campinas,SP,Sudeste,P002,Notebook Air 13,Informática,V004,Rafael Martins,2,2900.00,0.12,2200.00
VDA0257,2025-03-25,C020,Minas Analytics,Corporativo,Uberlândia,MG,Sudeste,P003,Monitor 24,Monitores,V004,Rafael Martins,2,950.00,0.10,670.00
VDA0105,2025-03-27,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P006,Teclado Mecânico,Periféricos,V004,Rafael Martins,4,280.00,0.15,145.00
VDA0085,2025-04-01,C004,Orbe Engenharia,PME,Campinas,SP,Sudeste,P004,Monitor 27,Monitores,V004,Rafael Martins,8,1450.00,0.10,1020.00
VDA0038,2025-04-08,C004,Orbe Engenharia,PME,Campinas,SP,Sudeste,P004,Monitor 27,Monitores,V002,Carlos Lima,4,1450.00,0.00,1020.00
VDA0044,2025-04-08,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P003,Monitor 24,Monitores,V003,Beatriz Alves,2,950.00,0.15,670.00
VDA0116,2025-04-08,C009,Amazon Tech,Corporativo,Manaus,AM,Norte,P009,Dock USB-C,Acessórios,V006,Marcos Silva,1,420.00,0.10,230.00
VDA0154,2025-04-08,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P007,Headset Pro,Periféricos,V003,Beatriz Alves,12,350.00,0.05,190.00
VDA0121,2025-04-09,C008,Bahia Solutions,PME,Salvador,BA,Nordeste,P012,Cadeira Office,Mobiliário,V005,Juliana Rocha,2,1100.00,0.10,720.00
VDA0123,2025-04-10,C017,Mato Grosso Corp,Corporativo,Cuiabá,MT,Centro-Oeste,P002,Notebook Air 13,Informática,V001,Ana Souza,2,2900.00,0.03,2200.00
VDA0003,2025-04-12,C008,Bahia Solutions,PME,Salvador,BA,Nordeste,P009,Dock USB-C,Acessórios,V005,Juliana Rocha,6,420.00,0.10,230.00
VDA0107,2025-04-12,C019,Pernambuco Labs,PME,Olinda,PE,Nordeste,P007,Headset Pro,Periféricos,V005,Juliana Rocha,1,350.00,0.10,190.00
VDA0066,2025-04-13,C002,Beta Serviços,PME,Brasília,DF,Centro-Oeste,P004,Monitor 27,Monitores,V001,Ana Souza,8,1450.00,0.05,1020.00
VDA0103,2025-04-13,C002,Beta Serviços,PME,Brasília,DF,Centro-Oeste,P004,Monitor 27,Monitores,V001,Ana Souza,8,1450.00,0.08,1020.00
VDA0049,2025-04-15,C019,Pernambuco Labs,PME,Olinda,PE,Nordeste,P005,Mouse Wireless,Periféricos,V005,Juliana Rocha,5,120.00,0.03,55.00
VDA0227,2025-04-15,C020,Minas Analytics,Corporativo,Uberlândia,MG,Sudeste,P001,Notebook Pro 14,Informática,V002,Carlos Lima,2,3500.00,0.00,2650.00
VDA0197,2025-04-17,C007,Nordeste Digital,Corporativo,Recife,PE,Nordeste,P009,Dock USB-C,Acessórios,V005,Juliana Rocha,4,420.00,0.10,230.00
VDA0132,2025-04-19,C004,Orbe Engenharia,PME,Campinas,SP,Sudeste,P011,HD Externo 2TB,Armazenamento,V002,Carlos Lima,2,610.00,0.00,390.00
VDA0195,2025-04-19,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P011,HD Externo 2TB,Armazenamento,V002,Carlos Lima,5,610.00,0.08,390.00
VDA0254,2025-04-20,C012,Cerrado Log,PME,Anápolis,GO,Centro-Oeste,P003,Monitor 24,Monitores,V001,Ana Souza,2,950.00,0.10,670.00
VDA0032,2025-04-23,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P010,SSD 1TB,Armazenamento,V003,Beatriz Alves,1,520.00,0.10,330.00
VDA0118,2025-04-24,C001,Alfa Consultoria,Corporativo,Goiânia,GO,Centro-Oeste,P005,Mouse Wireless,Periféricos,V001,Ana Souza,3,120.00,0.00,55.00
VDA0187,2025-04-24,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P010,SSD 1TB,Armazenamento,V003,Beatriz Alves,5,520.00,0.08,330.00
VDA0265,2025-04-24,C005,SulData,Corporativo,Curitiba,PR,Sul,P002,Notebook Air 13,Informática,V003,Beatriz Alves,8,2900.00,0.12,2200.00
VDA0102,2025-04-25,C001,Alfa Consultoria,Corporativo,Goiânia,GO,Centro-Oeste,P006,Teclado Mecânico,Periféricos,V001,Ana Souza,5,280.00,0.10,145.00
VDA0031,2025-04-26,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P004,Monitor 27,Monitores,V002,Carlos Lima,1,1450.00,0.00,1020.00
VDA0177,2025-04-28,C002,Beta Serviços,PME,Brasília,DF,Centro-Oeste,P005,Mouse Wireless,Periféricos,V001,Ana Souza,4,120.00,0.03,55.00
VDA0135,2025-04-30,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P011,HD Externo 2TB,Armazenamento,V002,Carlos Lima,12,610.00,0.10,390.00
VDA0186,2025-04-30,C012,Cerrado Log,PME,Anápolis,GO,Centro-Oeste,P011,HD Externo 2TB,Armazenamento,V001,Ana Souza,3,610.00,0.08,390.00
VDA0047,2025-05-01,C020,Minas Analytics,Corporativo,Uberlândia,MG,Sudeste,P011,HD Externo 2TB,Armazenamento,V002,Carlos Lima,3,610.00,0.15,390.00
VDA0271,2025-05-02,C014,Fortaleza Hub,Corporativo,Fortaleza,CE,Nordeste,P005,Mouse Wireless,Periféricos,V005,Juliana Rocha,2,120.00,0.00,55.00
VDA0090,2025-05-03,C017,Mato Grosso Corp,Corporativo,Cuiabá,MT,Centro-Oeste,P011,HD Externo 2TB,Armazenamento,V001,Ana Souza,2,610.00,0.00,390.00
VDA0196,2025-05-05,C001,Alfa Consultoria,Corporativo,Goiânia,GO,Centro-Oeste,P006,Teclado Mecânico,Periféricos,V001,Ana Souza,20,280.00,0.10,145.00
VDA0012,2025-05-06,C003,Nexa Tecnologia,Corporativo,São Paulo,SP,Sudeste,P009,Dock USB-C,Acessórios,V002,Carlos Lima,1,420.00,0.03,230.00
VDA0089,2025-05-07,C016,Tocantins Agro,PME,Palmas,TO,Norte,P005,Mouse Wireless,Periféricos,V006,Marcos Silva,8,120.00,0.00,55.00
VDA0039,2025-05-08,C006,Ponto Sul,PME,Porto Alegre,RS,Sul,P008,Webcam HD,Acessórios,V003,Beatriz Alves,10,240.00,0.00,125.00
VDA0086,2025-05-08,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P009,Dock USB-C,Acessórios,V002,Carlos Lima,10,420.00,0.00,230.00
VDA0129,2025-05-08,C019,Pernambuco Labs,PME,Olinda,PE,Nordeste,P002,Notebook Air 13,Informática,V005,Juliana Rocha,1,2900.00,0.10,2200.00
VDA0199,2025-05-09,C005,SulData,Corporativo,Curitiba,PR,Sul,P009,Dock USB-C,Acessórios,V003,Beatriz Alves,8,420.00,0.00,230.00
VDA0115,2025-05-13,C016,Tocantins Agro,PME,Palmas,TO,Norte,P006,Teclado Mecânico,Periféricos,V006,Marcos Silva,2,280.00,0.12,145.00
VDA0022,2025-05-15,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P012,Cadeira Office,Mobiliário,V002,Carlos Lima,15,1100.00,0.10,720.00
VDA0052,2025-05-16,C003,Nexa Tecnologia,Corporativo,São Paulo,SP,Sudeste,P009,Dock USB-C,Acessórios,V002,Carlos Lima,1,420.00,0.03,230.00
VDA0163,2025-05-16,C005,SulData,Corporativo,Curitiba,PR,Sul,P008,Webcam HD,Acessórios,V003,Beatriz Alves,2,240.00,0.10,125.00
VDA0201,2025-05-16,C011,Horizonte Saúde,Corporativo,Belo Horizonte,MG,Sudeste,P003,Monitor 24,Monitores,V002,Carlos Lima,1,950.00,0.10,670.00
VDA0141,2025-05-18,C008,Bahia Solutions,PME,Salvador,BA,Nordeste,P011,HD Externo 2TB,Armazenamento,V005,Juliana Rocha,4,610.00,0.10,390.00
VDA0001,2025-05-21,C004,Orbe Engenharia,PME,Campinas,SP,Sudeste,P012,Cadeira Office,Mobiliário,V002,Carlos Lima,2,1100.00,0.00,720.00
VDA0194,2025-05-22,C012,Cerrado Log,PME,Anápolis,GO,Centro-Oeste,P007,Headset Pro,Periféricos,V001,Ana Souza,2,350.00,0.00,190.00
VDA0005,2025-05-23,C006,Ponto Sul,PME,Porto Alegre,RS,Sul,P006,Teclado Mecânico,Periféricos,V003,Beatriz Alves,1,280.00,0.15,145.00
VDA0113,2025-05-23,C011,Horizonte Saúde,Corporativo,Belo Horizonte,MG,Sudeste,P002,Notebook Air 13,Informática,V002,Carlos Lima,10,2900.00,0.00,2200.00
VDA0261,2025-05-25,C019,Pernambuco Labs,PME,Olinda,PE,Nordeste,P008,Webcam HD,Acessórios,V005,Juliana Rocha,6,240.00,0.05,125.00
VDA0053,2025-05-26,C003,Nexa Tecnologia,Corporativo,São Paulo,SP,Sudeste,P006,Teclado Mecânico,Periféricos,V002,Carlos Lima,1,280.00,0.10,145.00
VDA0126,2025-05-26,C004,Orbe Engenharia,PME,Campinas,SP,Sudeste,P010,SSD 1TB,Armazenamento,V002,Carlos Lima,3,520.00,0.05,330.00
VDA0259,2025-05-26,C008,Bahia Solutions,PME,Salvador,BA,Nordeste,P010,SSD 1TB,Armazenamento,V005,Juliana Rocha,6,520.00,0.10,330.00
VDA0297,2025-05-27,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P010,SSD 1TB,Armazenamento,V002,Carlos Lima,5,520.00,0.15,330.00
VDA0008,2025-05-31,C013,Litoral Mídia,PME,Florianópolis,SC,Sul,P009,Dock USB-C,Acessórios,V003,Beatriz Alves,8,420.00,0.08,230.00
VDA0175,2025-06-01,C012,Cerrado Log,PME,Anápolis,GO,Centro-Oeste,P012,Cadeira Office,Mobiliário,V001,Ana Souza,1,1100.00,0.10,720.00
VDA0023,2025-06-02,C017,Mato Grosso Corp,Corporativo,Cuiabá,MT,Centro-Oeste,P011,HD Externo 2TB,Armazenamento,V001,Ana Souza,8,610.00,0.05,390.00
VDA0156,2025-06-02,C009,Amazon Tech,Corporativo,Manaus,AM,Norte,P005,Mouse Wireless,Periféricos,V006,Marcos Silva,8,120.00,0.05,55.00
VDA0108,2025-06-04,C008,Bahia Solutions,PME,Salvador,BA,Nordeste,P012,Cadeira Office,Mobiliário,V005,Juliana Rocha,8,1100.00,0.08,720.00
VDA0081,2025-06-08,C003,Nexa Tecnologia,Corporativo,São Paulo,SP,Sudeste,P011,HD Externo 2TB,Armazenamento,V002,Carlos Lima,2,610.00,0.00,390.00
VDA0219,2025-06-08,C006,Ponto Sul,PME,Porto Alegre,RS,Sul,P012,Cadeira Office,Mobiliário,V003,Beatriz Alves,12,1100.00,0.03,720.00
VDA0281,2025-06-08,C007,Nordeste Digital,Corporativo,Recife,PE,Nordeste,P006,Teclado Mecânico,Periféricos,V005,Juliana Rocha,4,280.00,0.15,145.00
VDA0222,2025-06-09,C011,Horizonte Saúde,Corporativo,Belo Horizonte,MG,Sudeste,P006,Teclado Mecânico,Periféricos,V002,Carlos Lima,6,280.00,0.10,145.00
VDA0045,2025-06-10,C019,Pernambuco Labs,PME,Olinda,PE,Nordeste,P012,Cadeira Office,Mobiliário,V005,Juliana Rocha,1,1100.00,0.08,720.00
VDA0231,2025-06-10,C001,Alfa Consultoria,Corporativo,Goiânia,GO,Centro-Oeste,P002,Notebook Air 13,Informática,V001,Ana Souza,4,2900.00,0.05,2200.00
VDA0299,2025-06-13,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P011,HD Externo 2TB,Armazenamento,V002,Carlos Lima,5,610.00,0.10,390.00
VDA0158,2025-06-14,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P008,Webcam HD,Acessórios,V003,Beatriz Alves,10,240.00,0.15,125.00
VDA0206,2025-06-14,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P002,Notebook Air 13,Informática,V002,Carlos Lima,4,2900.00,0.00,2200.00
VDA0025,2025-06-15,C017,Mato Grosso Corp,Corporativo,Cuiabá,MT,Centro-Oeste,P010,SSD 1TB,Armazenamento,V001,Ana Souza,3,520.00,0.00,330.00
VDA0140,2025-06-15,C002,Beta Serviços,PME,Brasília,DF,Centro-Oeste,P012,Cadeira Office,Mobiliário,V001,Ana Souza,4,1100.00,0.00,720.00
VDA0013,2025-06-16,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P011,HD Externo 2TB,Armazenamento,V003,Beatriz Alves,8,610.00,0.10,390.00
VDA0180,2025-06-17,C005,SulData,Corporativo,Curitiba,PR,Sul,P005,Mouse Wireless,Periféricos,V003,Beatriz Alves,6,120.00,0.00,55.00
VDA0228,2025-06-17,C005,SulData,Corporativo,Curitiba,PR,Sul,P005,Mouse Wireless,Periféricos,V003,Beatriz Alves,1,120.00,0.05,55.00
VDA0093,2025-06-19,C003,Nexa Tecnologia,Corporativo,São Paulo,SP,Sudeste,P007,Headset Pro,Periféricos,V004,Rafael Martins,4,350.00,0.05,190.00
VDA0283,2025-06-19,C012,Cerrado Log,PME,Anápolis,GO,Centro-Oeste,P011,HD Externo 2TB,Armazenamento,V001,Ana Souza,2,610.00,0.10,390.00
VDA0058,2025-06-20,C009,Amazon Tech,Corporativo,Manaus,AM,Norte,P001,Notebook Pro 14,Informática,V006,Marcos Silva,6,3500.00,0.08,2650.00
VDA0235,2025-06-20,C010,Pará Sistemas,PME,Belém,PA,Norte,P004,Monitor 27,Monitores,V006,Marcos Silva,6,1450.00,0.00,1020.00
VDA0278,2025-06-20,C008,Bahia Solutions,PME,Salvador,BA,Nordeste,P010,SSD 1TB,Armazenamento,V005,Juliana Rocha,1,520.00,0.03,330.00
VDA0091,2025-06-21,C010,Pará Sistemas,PME,Belém,PA,Norte,P005,Mouse Wireless,Periféricos,V006,Marcos Silva,2,120.00,0.05,55.00
VDA0256,2025-06-22,C004,Orbe Engenharia,PME,Campinas,SP,Sudeste,P011,HD Externo 2TB,Armazenamento,V002,Carlos Lima,10,610.00,0.08,390.00
VDA0182,2025-06-23,C009,Amazon Tech,Corporativo,Manaus,AM,Norte,P005,Mouse Wireless,Periféricos,V006,Marcos Silva,8,120.00,0.05,55.00
VDA0248,2025-06-23,C010,Pará Sistemas,PME,Belém,PA,Norte,P007,Headset Pro,Periféricos,V006,Marcos Silva,5,350.00,0.00,190.00
VDA0021,2025-06-24,C018,Serra Sistemas,PME,Caxias do Sul,RS,Sul,P011,HD Externo 2TB,Armazenamento,V003,Beatriz Alves,1,610.00,0.05,390.00
VDA0056,2025-06-25,C010,Pará Sistemas,PME,Belém,PA,Norte,P012,Cadeira Office,Mobiliário,V006,Marcos Silva,2,1100.00,0.08,720.00
VDA0068,2025-06-29,C009,Amazon Tech,Corporativo,Manaus,AM,Norte,P005,Mouse Wireless,Periféricos,V006,Marcos Silva,5,120.00,0.05,55.00
VDA0216,2025-06-29,C016,Tocantins Agro,PME,Palmas,TO,Norte,P002,Notebook Air 13,Informática,V006,Marcos Silva,8,2900.00,0.03,2200.00
VDA0236,2025-06-29,C004,Orbe Engenharia,PME,Campinas,SP,Sudeste,P006,Teclado Mecânico,Periféricos,V002,Carlos Lima,6,280.00,0.10,145.00
VDA0289,2025-06-30,C015,Rio Office,Corporativo,Rio de Janeiro,RJ,Sudeste,P012,Cadeira Office,Mobiliário,V002,Carlos Lima,5,1100.00,0.05,720.00
VDA0011,2025-07-01,C012,Cerrado Log,PME,Anápolis,GO,Centro-Oeste,P006,Teclado Mecânico,Periféricos,V001,Ana Souza,2,280.00,0.00,145.00
VDA0168,2025-07-03,C011,Horizonte Saúde,Corporativo,Belo Horizonte,MG,Sudeste,P005,Mouse Wireless,Periféricos,V002,Carlos Lima,3,120.00,0.00,55.00
VDA0200,2025-07-03,C001,Alfa Consultoria,Corporativo,Goiânia,GO,Centro-Oeste,P001,Notebook Pro 14,Informática,V001,Ana Souza,6,3500.00,0.00,2650.00
VDA0275,2025-07-04,C006,Ponto Sul,PME,Porto Alegre,RS,Sul,P009,Dock USB-C,Acessórios,V003,Beatriz Alves,1,420.00,0.05,230.00
VDA0233,2025-07-05,C020,Minas Analytics,Corporativo,Uberlândia,MG,Sudeste,P012,Cadeira Office,Mobiliário,V004,Rafael Martins,1,1100.00,0.10,720.00
VDA0190,2025-07-09,C005,SulData,Corporativo,Curitiba,PR,Sul,P008,Webcam HD,Acessórios,V003,Beatriz Alves,5,240.00,0.10,125.00
VDA0252,2025-07-12,C003,Nexa Tecnologia,Corporativo,São Paulo,SP,Sudeste,P009,Dock USB-C,Acessórios,V004,Rafael Martins,5,420.00,0.03,230.00
